tweet_text,flagged
"Oh starbucks, I wanted a mocha and you made me a white mocha. ",NO
"@ellit i went from flowers, to Aussies not dressing appropriately in Jordan, to convincing a friend that she needs to buy a marker dress! ",NO
"just took my best friend of 13 years, How well you know Katie Outzen quiz and failed, how does that happen? its just so sad! ",NO
"Parked on the side of the road as Mrs Streak takes some photos of the local wild life. And no, not me. Cows ! ",NO
@therealmarymary I heard that!! ,NO
@LeosGifted1 Bout Time Lame...lol Good now I can Tweet you allllll day ,NO
is bored!!  miss all of my friends  :/ summer is already boring :/ but i dont miss homework bla! lol LYLAS H.A.G.S.,NO
@garryweil Gary is right. DLNA is emerging as dominant protocol for connecting devices in the home. Windows 7 extensive support is proof. ,NO
Happy Friday! Off to Chitown for a wedding. And maybe some #business  #kbuzz,NO
@WithGandana with cat is closed ,NO
You make me worry ,NO
Taking care of my God son ,NO
@Bonedwarf Sleep Fairy..... stay positive..... consciousness affects reality afterall ,NO
i am been made to watch Britain's got the sad factor (also known as britian's got talent) ,NO
@Candyflip78 I just read that. Thanks man. ,NO
"&quot;All the rainbows in the sky Start to weep, then say goodbye You won't be seeing rainbows any more&quot;  ",NO
@in_heaven lucky u the weather sucks over here ,NO
Thanks to @dltabor @mlombfor the awesome #followfriday shout outs! You guys rock ,NO
"Starving! Still have an hour to go.  Then Bun Bo Hue, I shall come.",NO
b o r e d and wants to talk to some1 on here ,NO
Andy Black told be I had bad karma today.  ,NO
Why doesn't anyone answer my tweets i send out  GRRRRR,NO
"Sent all of my A2 compositions that I've marked to the examining board, need to finish AS now. What fun! Some talented kids out there. ",NO
@alexcrenian Yeah he must be so busy!!  It would be so nice to see you again too! ,NO
listening to Tina Arena's I Wanna Know What Love Is... ,NO
"zomg so many photos to get through from dinners, events and holiday! This is what happens when you cram so much in a week ",NO
If mike doesnt get tweet's his world will surely end! ,NO
To @RavenGeordie &amp; @whizaway: Only made it 6 miles.  It was way too hot and I drank too much water at mile 4 and had to battle cramps ,NO
four days left of freshman yearrrrr ,NO
Yet another sleepless night turns into a sunny morning. 5 nights and counting ,NO
Gonna go watch some Creighton softball today!  Can't wait to see my itzy bitzy ,NO
@talkinguineapig *yawn-stretch* yeah that'll b cool ,NO
My most sincere prayers and sympathies are with you and your family. ,NO
mental note: do not work out on an empty stomach! ,NO
@janiesmile The epilogue made me kinda hate the whole series. But I still love it. I don't think they're be another Harry Potter book. ,NO
@ceggs See ! I knew it was an Indoor BBQ ! Oooh! ,NO
"@lostgirl66 Yes, I think I'm due an unplugged afternoon LOL. Will be just the ticket. ",NO
wants to go SHOPPING ,NO
Just waking up now gwtting ready to go out. still tired from work  but gonna make it a great day,NO
Day 4 no word from @yahoogroup tech support. Where oh where did my ateneo college group go? @yahoo must have lost it ,NO
@SuffieOx yeah..  if they cant get all their videos back i will kill whoever did this.. :|,YES
Anyone who knows me knows I love TMZ but Mondays are a bummer-no Nina   (anyone who knows me also knows she is my fave!),NO
"@blam You've got sick, sick monkeys working for you at Giz: http://is.gd/15syu I'm scared ",YES
Finally in TN again. abt 30 miles from home ,NO
@eckastatic sure I would like some cream right now ,NO
work=sucks... i just want to lie down ,NO
Byeeeeeeeeeeeeeee! ,NO
@thatdope ok...the biznez betta be gud tho lol ,NO
"@JiJi87 ho?! Tattoo on Eyebrows?! even there... (: good luck, JiJi, and don't be so scared... ",NO
THiNKiNG 0f HiM  &lt;3,NO
I don't wanna clean anymore ,NO
@kdiggity76 2GB should be stardard these days! You can't drive a BMW without premium gas! ,NO
only 42 miles to go! woot woot ,NO
Mediacom Internet still down  No 3.0 update for YOU!! On the bright side VBS day three tonight! ABC night.,NO
Husband cooked me breakfast.  Tasted good going down.  Not so much coming up.  ,NO
@ShayyyG Indeed ,NO
We're going home today ,NO
"@rickerbh thanks, you're right - they're certainly examples of dashboards... but not so sure how many of them are good ",NO
I'm pickin out my dress cos we is in the roscars. Both films yay! ,NO
"@fortyoneacres That's such bullshit.  I LOVE the Broadband card's flexibility, but I might switch back to DSL for unlimited browsing.",NO
Uh no! Tomorrow we'll know who'll be pass and fail on National Exam! ,NO
Just passed the intrepid...that's what she said...zing sauce ,NO
"was lunch in Kapitan Cafe @ Marikina, had buko pandan overload @ Tita Yoly's. whattaday.  http://plurk.com/p/z4392",NO
@AngeJayT haha it's alright and yes he was! ,NO
Baby sitting my 3 year old brother who will not go to sleep ,NO
has to workk  i hate working..,NO
@nessie_111 Who do you think???  I think Susan.....  glad Dave is banged up!!!  ,NO
@wossy Been taking zyrtec for 8 months straight...  Seem to be allergic to Brisbane. Try to go off every now and then. Fail. Good luck!,NO
Now I'm watching Nights in Rodanthe.. I love Diane Lane and Richard Gere together. ,NO
